Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Sunny,38,Fort Lauderdale - Hollywood International Airport,Jackson Hole Airport,448,141,CommutAir
Sunny,37,Gulfport - Biloxi International Airport,Aspen/Pitkin County Airport (Sardy Field),793,336,United Airlines
Windy,20,King Salmon Airport,Bozeman Yellowstone International Airport (was Gallatin Field),498,122,GoJet Airlines
Rainy,25,Pitt - Greenville Airport,Juneau International Airport,699,377,Elite Airways
Sunny,39,Aberdeen Regional Airport,Gen. Edward Lawrence Logan International Airport,569,204,American Airlines
Cloudy,33,Lake Charles Regional Airport,Jack Brooks Regional Airport (was Southeast Texas Regional),350,113,Mesa Airlines
Windy,25,Montgomery Regional Airport (Dannelly Field),Gunnison - Crested Butte Regional Airport,514,272,GoJet Airlines
Rainy,27,Brainerd Lakes Regional Airport,Meadows Field,331,102,CommutAir
Windy,16,Yampa Valley Airport (Yampa Valley Regional),Florence Regional Airport,631,377,Contour Airlines
Snow Fall,-5,Eugene F. Kranz Toledo Express Airport,Jamestown Regional Airport,315,180,Endeavor Air
Snow Fall,1,MidAmerica St. Louis Airport / Scott Air Force Base,Harrisburg International Airport,556,257,Elite Airways
Snow Fall,-3,John Glenn Columbus International Airport,Lake Charles Regional Airport,314,182,Frontier Airlines
Windy,21,General Downing-Peoria International Airport,El Paso International Airport,731,298,Allegiant Air
Windy,19,Pittsburgh International Airport,Philadelphia International Airport,651,236,Spirit Airlines
Cloudy,31,Springfield - Branson National Airport,Norfolk International Airport,643,207,United Airlines
Windy,23,Rhinelander - Oneida County Airport,Merrill Field,649,359,JetBlue
Cloudy,35,Gustavus Airport,Dickinson Theodore Roosevelt Regional Airport,820,301,Delta Air Lines
Sunny,36,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),Midland International Air and Space Port,469,109,Spirit Airlines
Rainy,29,San Luis Obispo County Regional Airport (McChesney Field),Baltimore/Washington International Airport,662,317,Mesa Airlines
Windy,22,James M. Cox Dayton International Airport,Easterwood Field,843,200,Allegiant Air
Rainy,30,Buffalo Niagara International Airport,Kahului Airport,837,362,Delta Air Lines
Windy,23,San Antonio International Airport,Mercedita Airport,656,247,Air Wisconsin
Snow Fall,1,Klawock Airport (also see Klawock Seaplane Base),Orlando International Airport,621,251,GoJet Airlines
Rainy,28,Palm Beach International Airport,Capital Region International Airport (was Lansing Capital City),384,182,Elite Airways
Rainy,29,Cyril E. King Airport,Bangor International Airport,938,311,Delta Air Lines
Cloudy,33,Roswell Air Center,Coastal Carolina Regional Airport (was Craven County Regional),890,336,Frontier Airlines
Sunny,37,Salisbury - Ocean City - Wicomico Regional Airport,Pittsburgh International Airport,322,197,Spirit Airlines
Rainy,28,Albuquerque International Sunport,Gillette - Campbell County Airport,805,369,CommutAir
Snow Fall,0,Midland International Air and Space Port,Orcas Island Airport,306,167,Piedmont Airlines
Cloudy,31,Hollywood Burbank Airport (was Bob Hope Airport),Watertown International Airport,575,218,Republic Airways
Cloudy,31,Erie International Airport (Tom Ridge Field),Orlando Sanford International Airport,950,264,CommutAir
Cloudy,34,Prescott Municipal Airport (Ernest A. Love Field),Jacksonville International Airport,813,286,JetBlue
Windy,23,Tampa International Airport,Wrangell Airport (also see Wrangell Seaplane Base),413,136,American Airlines
Rainy,28,Hartsfield - Jackson Atlanta International Airport,Erie International Airport (Tom Ridge Field),949,256,Allegiant Air
Rainy,30,Springfield - Branson National Airport,Spokane International Airport (Geiger Field),620,200,Mesa Airlines
Sunny,37,Milwaukee Mitchell International Airport,Harry Reid International Airport,646,269,American Airlines
Cloudy,31,Bert Mooney Airport,Albert J. Ellis Airport,812,313,GoJet Airlines
Sunny,36,Frederick Douglass/Greater Rochester International Airport,Westerly State Airport,451,184,Elite Airways
Snow Fall,-9,Albuquerque International Sunport,Wilmington International Airport,312,174,Delta Air Lines
Rainy,30,San Luis Valley Regional Airport (Bergman Field),Gainesville Regional Airport,470,179,United Airlines
Rainy,27,Jackson - Medgar Wiley Evers International Airport,Plattsburgh International Airport,566,323,Republic Airways
Cloudy,34,Hartsfield - Jackson Atlanta International Airport,Corpus Christi International Airport,433,113,GoJet Airlines
Cloudy,34,Yampa Valley Airport (Yampa Valley Regional),St. Pete - Clearwater International Airport,784,244,Spirit Airlines
Snow Fall,-2,Flagstaff Pulliam Airport,Houghton County Memorial Airport,730,310,PSA Airlines
Windy,15,Chippewa County International Airport,Ralph Wien Memorial Airport,937,342,Spirit Airlines
Rainy,26,Bozeman Yellowstone International Airport (was Gallatin Field),Eastern Iowa Airport,932,305,Republic Airways
Windy,21,Portland International Jetport,San Antonio International Airport,452,170,Alaska Airlines
Cloudy,35,Savannah/Hilton Head International Airport,Piedmont Triad International Airport,515,313,Elite Airways
Snow Fall,-5,University Park Airport,Joplin Regional Airport,926,335,Endeavor Air
Cloudy,33,Piedmont Triad International Airport,Valdosta Regional Airport,510,302,Breeze Airways
Snow Fall,-6,Springfield - Branson National Airport,Gen. Edward Lawrence Logan International Airport,774,208,Horizon Air
Snow Fall,0,Norfolk International Airport,Montgomery Regional Airport (Dannelly Field),607,236,Sun Country Airlines
Cloudy,33,Gainesville Regional Airport,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),846,335,Elite Airways
Windy,15,Bishop International Airport,Ogdensburg International Airport,430,168,Allegiant Air
Snow Fall,-5,Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),Block Island State Airport,833,228,Breeze Airways
Windy,25,Augusta Regional Airport (Bush Field),Norfolk International Airport,534,293,United Airlines
Snow Fall,-6,Tupelo Regional Airport (C.D. Lemons Field),Punta Gorda Airport,351,196,SkyWest Airlines
Rainy,29,Molokai Airport (Hoolehua Airport),Brunswick Golden Isles Airport,632,330,Air Wisconsin
Rainy,25,Walla Walla Regional Airport,Newport News/Williamsburg International Airport (Patrick Henry Field),506,286,PSA Airlines
Sunny,37,Aberdeen Regional Airport,Spokane International Airport (Geiger Field),571,261,GoJet Airlines
Rainy,27,La Crosse Regional Airport,Midland International Air and Space Port,367,101,Air Wisconsin
Snow Fall,3,Harry Reid International Airport,Middle Georgia Regional Airport,534,394,United Airlines
Cloudy,34,St. Louis Lambert International Airport,Merrill Field,351,116,SkyWest Airlines
Windy,18,Nantucket Memorial Airport,Niagara Falls International Airport,934,234,Allegiant Air
Windy,19,Harry Reid International Airport,Brownsville/South Padre Island International Airport,471,138,Horizon Air
Windy,24,Kodiak Airport (Benny Benson State Airport),Montrose Regional Airport,592,282,Frontier Airlines
Cloudy,33,Sioux Gateway Airport (Brig. General Bud Day Field),Southwest Florida International Airport,358,140,Allegiant Air
Rainy,26,Fairbanks International Airport,Rhode Island T. F. Green International Airport,741,337,Elite Airways
Snow Fall,-1,Norman Y. Mineta San José International Airport,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),786,398,United Airlines
Cloudy,32,Stockton Metropolitan Airport,Charlottesville - Albemarle Airport,946,385,United Airlines
Rainy,25,Juneau International Airport,Fort Lauderdale - Hollywood International Airport,945,208,United Airlines
Snow Fall,-2,Valley International Airport,Dothan Regional Airport,301,154,GoJet Airlines
Cloudy,35,Gainesville Regional Airport,Pangborn Memorial Airport,312,183,Piedmont Airlines
Snow Fall,-4,Palm Springs International Airport,Watertown International Airport,699,295,GoJet Airlines
Sunny,38,Bozeman Yellowstone International Airport (was Gallatin Field),Wrangell Airport (also see Wrangell Seaplane Base),886,219,PSA Airlines
Rainy,28,Quad City International Airport,Corpus Christi International Airport,505,246,CommutAir
Sunny,36,Destin - Fort Walton Beach Airport / Eglin Air Force Base,Seattle - Tacoma International Airport,634,242,Silver Airways
Windy,18,Boise Airport (Boise Air Terminal) (Gowen Field),North Central West Virginia Airport (was Harrison-Marion Regional),759,317,Elite Airways
Cloudy,34,St. Louis Lambert International Airport,Gunnison - Crested Butte Regional Airport,991,342,SkyWest Airlines
Rainy,27,Norfolk International Airport,Dane County Regional Airport (Truax Field),336,177,Eastern Airlines
Windy,23,Kalamazoo/Battle Creek International Airport,Joplin Regional Airport,610,269,Eastern Airlines
Rainy,27,Central Wisconsin Airport,Midland International Air and Space Port,932,346,American Airlines
Cloudy,34,Wiley Post - Will Rogers Memorial Airport,Central Nebraska Regional Airport,517,305,Elite Airways
Rainy,26,Hollywood Burbank Airport (was Bob Hope Airport),Monterey Regional Airport (was Monterey Peninsula Airport),779,294,CommutAir
Sunny,39,Hilo International Airport,Quad City International Airport,819,332,Allegiant Air
Cloudy,35,San Luis Valley Regional Airport (Bergman Field),Gunnison - Crested Butte Regional Airport,736,300,Alaska Airlines
Windy,20,Ithaca Tompkins International Airport,Benjamín Rivera Noriega Airport,705,245,CommutAir
Cloudy,30,Central Wisconsin Airport,Southwest Florida International Airport,730,354,Delta Air Lines
Snow Fall,-3,Mahlon Sweet Field,Joe Foss Field,956,369,Elite Airways
Windy,24,Raleigh - Durham International Airport,Midland International Air and Space Port,935,350,Sun Country Airlines
Rainy,29,Pittsburgh International Airport,Henry E. Rohlsen Airport,468,141,Contour Airlines
Sunny,39,Merle K. (Mudhole) Smith Airport,Chippewa County International Airport,903,221,Silver Airways
Windy,20,Sarasota - Bradenton International Airport,Friday Harbor Airport,431,113,American Airlines
Sunny,37,Sawyer International Airport,Mobile Regional Airport,552,289,Allegiant Air
Sunny,38,Central Wyoming Regional Airport (was Riverton Regional),Fairbanks International Airport,529,248,Piedmont Airlines
Cloudy,35,South Bend International Airport,Hattiesburg - Laurel Regional Airport,786,202,Elite Airways
Sunny,35,Columbia Regional Airport,St. Louis Lambert International Airport,538,243,Hawaiian Airlines
Windy,17,Midland International Air and Space Port,San Luis Obispo County Regional Airport (McChesney Field),465,129,Frontier Airlines
Sunny,35,Asheville Regional Airport,Golden Triangle Regional Airport,994,326,CommutAir
Snow Fall,-9,Atlantic City International Airport,Oakland International Airport,323,150,Silver Airways
Rainy,29,Philadelphia International Airport,Deadhorse Airport (Prudhoe Bay Airport),695,342,Avelo Airlines
Sunny,36,Hilo International Airport,Trenton Mercer Airport,725,313,Cape Air
Rainy,25,Branson Airport,Phoenix Sky Harbor International Airport,680,232,Elite Airways
Sunny,36,Plattsburgh International Airport,Atlantic City International Airport,557,236,PSA Airlines
Sunny,37,Fayetteville Regional Airport (Grannis Field),Savannah/Hilton Head International Airport,434,157,Frontier Airlines
Windy,24,Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),Gainesville Regional Airport,940,302,Spirit Airlines
Windy,22,Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),Kearney Regional Airport (was Kearney Municipal),576,342,Sun Country Airlines
Snow Fall,-1,Kodiak Airport (Benny Benson State Airport),Westerly State Airport,593,247,Envoy Air
Snow Fall,-3,Santa Fe Municipal Airport,Roswell Air Center,908,327,Horizon Air
Sunny,36,Sarasota - Bradenton International Airport,Portland International Jetport,527,318,United Airlines
Cloudy,31,Idaho Falls Regional Airport (Fanning Field),Stillwater Regional Airport,955,261,Eastern Airlines
Sunny,38,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,John Glenn Columbus International Airport,869,226,Southwest Airlines
Sunny,38,Piedmont Triad International Airport,Gillette - Campbell County Airport,462,188,PSA Airlines
Cloudy,32,Arnold Palmer Regional Airport,Muskegon County Airport,965,337,GoJet Airlines
Windy,16,Lawton - Fort Sill Regional Airport,Abraham Lincoln Capital Airport,475,135,Air Wisconsin
Snow Fall,-9,Santa Maria Public Airport (Capt G. Allan Hancock Field),Nantucket Memorial Airport,412,142,Delta Air Lines
Sunny,38,Eppley Airfield,Asheville Regional Airport,688,207,Avelo Airlines
Snow Fall,-1,North Platte Regional Airport (Lee Bird Field),Syracuse Hancock International Airport,780,372,Mesa Airlines
Snow Fall,-7,Yakima Air Terminal (McAllister Field),Bangor International Airport,578,320,PSA Airlines
Windy,18,Williston Basin International Airport,Roswell Air Center,377,174,Envoy Air
Windy,17,San Diego International Airport (Lindbergh Field),Valdosta Regional Airport,561,296,Allegiant Air
Cloudy,35,Bradley International Airport,Pellston Regional/Emmet County Airport,742,316,Horizon Air
Rainy,28,La Crosse Regional Airport,Garden City Regional Airport,832,225,American Airlines
Rainy,30,Rapid City Regional Airport,Arnold Palmer Regional Airport,895,249,Delta Air Lines
Rainy,26,Greater Binghamton Airport (Edwin A. Link Field),Fort Wayne International Airport,696,357,Eastern Airlines
Windy,17,Chippewa Valley Regional Airport,Charleston International Airport / Charleston AFB,955,390,PSA Airlines
Snow Fall,-2,Long Island MacArthur Airport,Seattle - Tacoma International Airport,852,325,Contour Airlines
Rainy,29,Appleton International Airport,Gillette - Campbell County Airport,640,323,Air Wisconsin
Rainy,30,Tri-State Airport (Milton J. Ferguson Field),Salisbury - Ocean City - Wicomico Regional Airport,413,111,United Airlines
Cloudy,33,Piedmont Triad International Airport,Abilene Regional Airport,532,395,Frontier Airlines
Sunny,36,Central Nebraska Regional Airport,Midland International Air and Space Port,593,280,Horizon Air
Rainy,29,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Northwest Florida Beaches International Airport,700,305,PSA Airlines
Cloudy,33,Cincinnati/Northern Kentucky International Airport,Western Nebraska Regional Airport (William B. Heilig Field),810,392,Avelo Airlines
Sunny,36,Erie International Airport (Tom Ridge Field),Bozeman Yellowstone International Airport (was Gallatin Field),879,312,Republic Airways
Rainy,27,Bishop International Airport,Dallas Fort Worth International Airport,720,375,Republic Airways
Windy,25,Bradley International Airport,Montrose Regional Airport,711,236,Contour Airlines
Cloudy,32,Benjamín Rivera Noriega Airport,Plattsburgh International Airport,493,178,Eastern Airlines
Cloudy,32,Midland International Air and Space Port,Spokane International Airport (Geiger Field),539,323,Delta Air Lines
